"Government","حكومة"
"State","بلد"
"District","حي"
"Sub-District","غربال"
"City Municipality","دار البلدية"
"Local Municipality","مجلس بلدي"
"Regional Municipality","المجلس الإقليمي"
"Israel",""
"Haifa (District)","حيفا"
"The South","الجنوب"
"Tel Aviv (District)","تل أبيب"
"The Center","المركز"
"Yehuda and Shumron","يهودا والسامرة"
"The North","الشمال"
"Jerusalem (District)","القدس"
"Tzfat (Sub-District)","صفد"
"Kinneret","طبريا"
"Yisrael","يزرعيل"
"Akko (Sub-District)","عكا"
"Golan","الجولان"
"Haifa (Sub-District)","حيفا"
"Hadera (Sub-District)","الخضيرة"
"HaSharon","شارون"
"Petach Tikva","بتاح تكفا"
"Ramla (Sub-District)","الرملة"
"Rehovot (Sub-District)","رحوفوت"
"Tel Aviv (Sub-District)","تل أبيب"
"Ashkelon (Sub-District)","اشكلون"
"Be'er Sheva (Sub-District)","بئر السبع"
"Uum Al-Fahem","أم الفحم"
"Ofekim","أوفاكيم"
"Or Yehuda","أور یهودا"
"Or Akiva","أور عقيفا"
"Eilat","إيلات"
"Elad","العاد"
"Ariel","أريئيل"
"Ashdod","أشدود"
"Ashkelon","اشكلون"
"Baka El-Garbia","باقة الغربية"
"Be'er Sheva","بئر السبع"
"Beit She'an","بيت شان"
"Bet Shemesh","بيت شمش"
"Beitar Illit","بيتار عيليت"
"Bnei Barak","بني براك"
"Bat Yam","بات يام"
"Givat Shmuel","جفعات شموئيل"
"Givatayim","جفعاتايم"
"Dimonah","ديمونة"
"Hod HaSharon","هود هشارون"
"Herzliya","هرتزيلية"
"Hadera","الخضيرة"
"Holon","حولون"
"Haifa","حيفا"
"Tiberia","طبريا"
"Taibeh","الطيبة"
"Tira","الطيرة"
"Tirat HaCarmel","طيرة الكرمل"
"Tamara","طمرة"
"Yavneh","يفنه"
"Yehud","يهود"
"Yokne'am Illit","يوكنعام عيليت"
"Jerusalem","القدس"
"Kfar Saba","كفار سابا"
"Kfar Qassam","كفر قاسم"
"Carmiel","كرمئيل"
"Lod","اللد"
"Migdal HaEmek","مجدال هعيمق"
"Modi'in Illit","موديعين عيليت"
"Modi'in Maccabim-Reut","موديعين-مكابيم-ريعوت"
"Ma'aleh Adomim","معاليه أدوميم"
"Ma'alot-Tarshiha","ترشيحا"
"Nahariya","نهاريا"
"Ness Ziona","نيس زيونا"
"Nazereth","الناصرة"
"Nazereth Illit","نتسيرت عيليت"
"Nesher","نيشير"
"Netivot","نتيفوت"
"Netanyah","نتانيا"
"Sachnin","سخنين"
"Akko","عكا"
"Afula","العفولة"
"Arad","عراد"
"Petach Tikva","بتاح تكفا"
"Tzafat","صفد"
"Qalansawe","قلنسوة"
"Kiryat Ono","كريات أونو"
"Kiryat Ata","كريات آتا"
"Kiryat Bialik","کریات بیالیك"
"Kiryat Gat","كريات جات"
"Kiryat Yam","كريات يام"
"Kiryat Motzkin","كريات موصقين"
"Kiryat Malakhi","كريات ملاخي"
"Kiryat Shmona","كريات شمونة"
"Rosh HaAyin","روش هاعين"
"Rishon LeZion","ريشون لتسيون"
"Rahat","راهط"
"Rehovot","رحوفوت"
"Ramla","الرملة"
"Ramat Gan","رمات غان"
"Ramat HaSharon","رامات هاشارون"
"Ra'anana","رعنانا"
"Sderot","شديروت"
"Shefa-'Amr","شفا عمرو"
"Tel Aviv","تل أبيب"
"Abu Ghosh","أبو غوش"
"Abu Snan","أبو سنان"
"Even Yehuda","ابن يهودا"
"Oranit","أورانيت"
"Azor","ازور"
"Iksal","إكسال"
"Elyakhin","اليخين"
"Alfei Menashe","ألفيه منشه"
"Elkana","الكانا"
"I'billin","إعبلين"
"Efrat","افرات"
"Be'er Ya'akov","بئر يعقوب"
"Bu'eine Nujeidat","البعينة"
"Buq'ata","بقعاثا"
"Bir al-Maksur","بئر المكسور"
"Beit El","بيت ايل"
"Beit Aryeh-Ofarim",""
"Beit Jann","بيت جن"
"Beit Dagan","بيت اريه"
"Bnei Ayish","بني عيش"
"Binyamina-Giv'at Ada","بنيامينا - جبعات آدا"
"Basma","بسمة"
"Basmat Tab'un","بسمة طبعون"
"Bi'ina","بعنا"
"Giv'at Ze'ev","جفعات زئيف"
"Jadeidi-Makr","جدايدة- مكر"
"Gedera","جدارة"
"Julis","جولس"
"Jaljulia","جلجولية"
"Gan Yavne","غان يفنة"
"Ganei Tikva","جاني تكفا"
"Jisr az-Zarqa","جسر الزرقاء"
"Jish","الجش"
"Jatt","جت"
"Daliyat al-Karmel","دالية الكرمل"
"Daburiyya","دبورية"
"Deir al-Asad","دير الأسد"
"Deir Hanna","دير حنا"
"Har Adar","هار ادار"
"Zikhron Ya'akov","زخرون ياكوف"
"Zemer","زيمر"
"Zarzir","زرزور"
"Hura","حورة"
"Hurfeish","حرفيش"
"Hatzor HaGlilit","حورة"
"Tuba-Zangariyye","طوبا الزنغرية"
"Tur'an","طرعان"
