"Government","Government"
"State","State"
"District","District"
"Sub-District","Sub-District"
"City Municipality","City Municipality"
"Local Municipality","Local Municipality"
"Regional Municipality","Regional Municipality"
"Israel","Israel"
"Haifa (District)","Haifa (District)"
"The South","The South"
"Tel Aviv (District)","Tel Aviv (District)"
"The Center","The Center"
"Yehuda and Shumron","Yehuda and Shumron"
"The North","The North"
"Jerusalem (District)","Jerusalem (District)"
"Tzfat (Sub-District)","Tzfat (Sub-District)"
"Kinneret","Kinneret"
"Yisrael","Yisrael"
"Akko (Sub-District)","Akko (Sub-District)"
"Golan","Golan"
"Haifa (Sub-District)","Haifa (Sub-District)"
"Hadera (Sub-District)","Hadera (Sub-District)"
"HaSharon","HaSharon"
"Petach Tikva","Petach Tikva"
"Ramla (Sub-District)","Ramla (Sub-District)"
"Rehovot (Sub-District)","Rehovot (Sub-District)"
"Tel Aviv (Sub-District)","Tel Aviv (Sub-District)"
"Ashkelon (Sub-District)","Ashkelon (Sub-District)"
"Be'er Sheva (Sub-District)","Be'er Sheva (Sub-District)"
"Uum Al-Fahem","Uum Al-Fahem"
"Ofekim","Ofekim"
"Or Yehuda","Or Yehuda"
"Or Akiva","Or Akiva"
"Eilat","Eilat"
"Elad","Elad"
"Ariel","Ariel"
"Ashdod","Ashdod"
"Ashkelon","Ashkelon"
"Baka El-Garbia","Baka El-Garbia"
"Be'er Sheva","Be'er Sheva"
"Beit She'an","Beit She'an"
"Bet Shemesh","Bet Shemesh"
"Beitar Illit","Beitar Illit"
"Bnei Barak","Bnei Barak"
"Bat Yam","Bat Yam"
"Givat Shmuel","Givat Shmuel"
"Givatayim","Givatayim"
"Dimonah","Dimonah"
"Hod HaSharon","Hod HaSharon"
"Herzliya","Herzliya"
"Hadera","Hadera"
"Holon","Holon"
"Haifa","Haifa"
"Tiberia","Tiberia"
"Taibeh","Taibeh"
"Tira","Tira"
"Tirat HaCarmel","Tirat HaCarmel"
"Tamara","Tamara"
"Yavneh","Yavneh"
"Yehud","Yehud"
"Yokne'am Illit","Yokne'am Illit"
"Jerusalem","Jerusalem"
"Kfar Saba","Kfar Saba"
"Kfar Qassam","Kfar Qassam"
"Carmiel","Carmiel"
"Lod","Lod"
"Migdal HaEmek","Migdal HaEmek"
"Modi'in Illit","Modi'in Illit"
"Modi'in Maccabim-Reut","Modi'in Maccabim-Reut"
"Ma'aleh Adomim","Ma'aleh Adomim"
"Ma'alot-Tarshiha","Ma'alot-Tarshiha"
"Nahariya","Nahariya"
"Ness Ziona","Ness Ziona"
"Nazereth","Nazereth"
"Nazereth Illit","Nazereth Illit"
"Nesher","Nesher"
"Netivot","Netivot"
"Netanyah","Netanyah"
"Sachnin","Sachnin"
"Akko","Akko"
"Afula","Afula"
"Arad","Arad"
"Petach Tikva","Petach Tikva"
"Tzafat","Tzafat"
"Qalansawe","Qalansawe"
"Kiryat Ono","Kiryat Ono"
"Kiryat Ata","Kiryat Ata"
"Kiryat Bialik","Kiryat Bialik"
"Kiryat Gat","Kiryat Gat"
"Kiryat Yam","Kiryat Yam"
"Kiryat Motzkin","Kiryat Motzkin"
"Kiryat Malakhi","Kiryat Malakhi"
"Kiryat Shmona","Kiryat Shmona"
"Rosh HaAyin","Rosh HaAyin"
