"Government",""
"State",""
"District",""
"Sub-District",""
"City Municipality",""
"Local Municipality",""
"Regional Municipality",""
"Israel",""
"Haifa (District)",""
"The South",""
"Tel Aviv (District)",""
"The Center",""
"Yehuda and Shumron",""
"The North",""
"Jerusalem (District)",""
"Tzfat (Sub-District)",""
"Kinneret",""
"Yisrael",""
"Akko (Sub-District)",""
"Golan",""
"Haifa (Sub-District)",""
"Hadera (Sub-District)",""
"HaSharon",""
"Petach Tikva",""
"Ramla (Sub-District)",""
"Rehovot (Sub-District)",""
"Tel Aviv (Sub-District)",""
"Ashkelon (Sub-District)",""
"Be'er Sheva (Sub-District)",""
"Uum Al-Fahem",""
"Ofekim",""
"Or Yehuda",""
"Or Akiva",""
"Eilat",""
"Elad",""
"Ariel",""
"Ashdod",""
"Ashkelon",""
"Baka El-Garbia",""
"Be'er Sheva",""
"Beit She'an",""
"Bet Shemesh",""
"Beitar Illit",""
"Bnei Barak",""
"Bat Yam",""
"Givat Shmuel",""
"Givatayim",""
"Dimonah",""
"Hod HaSharon",""
"Herzliya",""
"Hadera",""
"Holon",""
"Haifa",""
"Tiberia",""
"Taibeh",""
"Tira",""
"Tirat HaCarmel",""
"Tamara",""
"Yavneh",""
"Yehud",""
"Yokne'am Illit",""
"Jerusalem",""
"Kfar Saba",""
"Kfar Qassam",""
"Carmiel",""
"Lod",""
"Migdal HaEmek",""
"Modi'in Illit",""
"Modi'in Maccabim-Reut",""
"Ma'aleh Adomim",""
"Ma'alot-Tarshiha",""
"Nahariya",""
"Ness Ziona",""
"Nazereth",""
"Nazereth Illit",""
"Nesher",""
"Netivot",""
"Netanyah",""
"Sachnin",""
"Akko",""
"Afula",""
"Arad",""
"Petach Tikva",""
"Tzafat",""
"Qalansawe",""
"Kiryat Ono",""
"Kiryat Ata",""
"Kiryat Bialik",""
"Kiryat Gat",""
"Kiryat Yam",""
"Kiryat Motzkin",""
"Kiryat Malakhi",""
"Kiryat Shmona",""
"Rosh HaAyin",""
"Rishon LeZion",""
"Rahat",""
"Rehovot",""
"Ramla",""
"Ramat Gan",""
"Ramat HaSharon",""
"Ra'anana",""
"Sderot",""
"Shefa-'Amr",""
"Tel Aviv",""
"Abu Ghosh",""
"Abu Snan",""
"Even Yehuda",""
"Oranit",""
"Azor",""
"Iksal",""
"Elyakhin",""
"Alfei Menashe",""
"Elkana",""
"I'billin",""
"Efrat",""
"Be'er Ya'akov",""
"Bu'eine Nujeidat",""
"Buq'ata",""
"Bir al-Maksur",""
"Beit El",""
"Beit Aryeh-Ofarim",""
"Beit Jann",""
"Beit Dagan",""
"Bnei Ayish",""
"Binyamina-Giv'at Ada",""
"Basma",""
"Basmat Tab'un",""
"Bi'ina",""
"Giv'at Ze'ev",""
"Jadeidi-Makr",""
"Gedera",""
"Julis",""
"Jaljulia",""
"Gan Yavne",""
"Ganei Tikva",""
"Jisr az-Zarqa",""
"Jish",""
"Jatt",""
"Daliyat al-Karmel",""
"Daburiyya",""
"Deir al-Asad",""
"Deir Hanna",""
"Har Adar",""
"Zikhron Ya'akov",""
"Zemer",""
"Zarzir",""
"Hura",""
"Hurfeish",""
"Hatzor HaGlilit",""
"Tuba-Zangariyye",""
"Tur'an",""
"Yanuh-Jat",""
"Yavne'el",""
"Yesud HaMa'ala",""
"Yafa an-Naseriyye",""
"Yeruham",""
"Yarka",""
"Kabul",""
"Kaukab Abu al-Hija",""
"Kokhav Ya'ir",""
"Kuseife",""
"Kisra-Sumei",""
"Ka'abiyye-Tabbash-Hajajre",""
"Kafr Bara",""
"Kfar Vradim",""
"Kafr Yasif",""
"Kfar Yona",""
"Kfar Kama",""
"Kafr Kanna",""
"Kafr Manda",""
"Kafr Qara",""
"Kfar Shmaryahu",""
"Kfar Tavor",""
"Lehavim",""
"Lakiya",""
"Mevaseret Zion",""
"Maghar",""
"Majd al-Krum",""
"Migdal",""
"Majdal Shams",""
"Mazkeret Batya",""
"Mazra'a",""
"Metula",""
"Meitar",""
"Mas'ade",""
"Mi'ilya",""
"Ma'ale Efrayim",""
"Ma'ale Iron",""
"Mitzpe Ramon",""
"Mashhad",""
"Nahf",""
"Sajur",""
"Savyon",""
"Ghajar",""
"Omer",""
"Eilabun",""
"Ilut",""
"Ein Mahil",""
"Ein Qiniyye",""
"Immanuel",""
"Isfiya",""
"Arraba",""
"Ar'ara",""
"Ar'arat an-Naqab",""
"Fureidis",""
"Fassuta",""
"Peki'in",""
"Pardes Hanna-Karkur",""
"Pardesiya",""
"Kedumim",""
"Tzoran-Kadima",""
"Katzir-Harish",""
"Katzrin",""
"Kiryat Arba",""
"Kiryat Tiv'on",""
"Kiryat Ye'arim",""
"Kiryat Ekron",""
"Karnei Shomron",""
"Rameh",""
"Rosh Pinna",""
"Reineh",""
"Rekhasim",""
"Ramat Yishai",""
"Shibli–Umm al-Ghanam",""
"Shaqib al-Salam",""
"Shoham",""
"Shlomi",""
"Sha'ab",""
"Tel Mond",""
"Tel as-Sabi",""
"Abu Basma",""
"El-Batuf",""
"Alona",""
"Eshkol",""
"Be'er Tuvia",""
"Bustan El-Marj",""
"Bnei Shim'on",""
"Brenner",""
"Gederot",""
"Golan",""
"Gush Etzion",""
"Gezer",""
"Gan Raveh",""
"Drom HaSharon",""
"HaGilboa",""
"HaGalil HaElion",""
"HaGalil HaTachton",""
"HaArava HaTichonah",""
"Har Hermon",""
"Zevulun",""
"Hevel Eilot",""
"Hevel Yavne",""
"Hevel Modi'in",""
"Hof Ashkelon",""
"Hof HaCarmel",""
"Hof HaSharon",""
"Yoav",""
"Lev HaSharon",""
"Lachish",""
"Mevo'ot HaHermon",""
"Megiddo",""
"Megillot Yam HaMelach",""
"Mate Asher",""
"Mate Binyamin",""
"Mate Yehuda",""
"Menashe",""
"Ma'aleh Yosef",""
"Merom HaGalil",""
"Merchavim",""
"Misgav",""
"Nahal Sorek",""
"Emek HaYarden",""
"Emek HaMa'ayanot",""
"Emek Chefer",""
"Emek Yizreel",""
"Emek Lod",""
"Arvot HaYarden",""
"Ramat Negev",""
"Sedot Negev",""
"Shomron",""
"Sha'ar HaNegev",""
"Shafir",""
"Tamar",""
