"Government","Правительство"
"State","Государство"
"District","Округ"
"Sub-District","Подокруг"
"City Municipality","Городской совет"
"Local Municipality","Местный совет"
"Regional Municipality","Региональный совет"
"Israel",""
"Haifa (District)","Хайфский"
"The South","Южный"
"Tel Aviv (District)","Тель-Авивский"
"The Center","Центральный"
"Yehuda and Shumron","Иудея и Самария"
"The North","Северный"
"Jerusalem (District)","Иерусалимский"
"Tzfat (Sub-District)",""
"Kinneret",""
"Yisrael",""
"Akko (Sub-District)",""
"Golan",""
"Haifa (Sub-District)",""
"Hadera (Sub-District)",""
"HaSharon",""
"Petach Tikva",""
"Ramla (Sub-District)",""
"Rehovot (Sub-District)",""
"Tel Aviv (Sub-District)",""
"Ashkelon (Sub-District)",""
"Be'er Sheva (Sub-District)",""
"Uum Al-Fahem","Умм-эль-Фахм"
"Ofekim","Офаким"
"Or Yehuda","Ор-Йехуда"
"Or Akiva","Ор-Акива"
"Eilat","Эйлат"
"Elad","Эльад"
"Ariel","Ариэль"
"Ashdod","Ашдод"
"Ashkelon","Ашкелон"
"Baka El-Garbia","Бака Эль-Гарбия"
"Be'er Sheva","Беэр-Шева"
"Beit She'an","Бейт-Шеан"
"Bet Shemesh","Бейт-Шемеш"
"Beitar Illit","Бейтар-Илит"
"Bnei Barak","Бней-Брак"
"Bat Yam","Бат-Ям"
"Givat Shmuel","Гиват-Шмуэль"
"Givatayim","Гиватаим"
"Dimonah","Димона"
"Hod HaSharon","Ход-ха-Шарон"
"Herzliya","Герцлия"
"Hadera","Хадера"
"Holon","Холон"
"Haifa","Хайфа"
"Tiberia","Тверия"
"Taibeh","Тайбе"
"Tira","Тира"
"Tirat HaCarmel","Тират-Кармель"
"Tamara","Тамра"
"Yavneh","Явне"
"Yehud","Йехуд"
"Yokne'am Illit","Йокнеам-Илит"
"Jerusalem","Иерусалим"
"Kfar Saba","Кфар-Сава"
"Kfar Qassam","Кафр-Касем"
"Carmiel","Кармиэль"
"Lod","Лод"
"Migdal HaEmek","Мигдаль-ха-Эмек"
"Modi'in Illit","Модиин-Илит"
"Modi'in Maccabim-Reut","Модиин-Маккабим-Реут"
"Ma'aleh Adomim","Маале-Адумим"
"Ma'alot-Tarshiha","Маалот-Таршиха"
"Nahariya","Нагария"
"Ness Ziona","Нес-Циона"
"Nazereth","Назарет"
"Nazereth Illit","Нацерет-Иллит"
"Nesher","Нешер"
"Netivot","Нетивот"
"Netanyah","Нетания"
"Sachnin","Сахнин"
"Akko","Акко"
"Afula","Афула"
"Arad","Арад"
"Petach Tikva","Петах-Тиква"
"Tzafat","Цфат"
"Qalansawe","Калансуа"
"Kiryat Ono","Кирьят-Оно"
"Kiryat Ata","Кирьят-Ата"
"Kiryat Bialik","Кирьят-Бялик"
"Kiryat Gat","Кирьят-Гат"
"Kiryat Yam","Кирьят-Ям"
"Kiryat Motzkin","Кирьят-Моцкин"
"Kiryat Malakhi","Кирьят-Малахи"
"Kiryat Shmona","Кирьят-Шмона"
"Rosh HaAyin","Рош-ха-Аин"
"Rishon LeZion","Ришон-ле-Цион"
"Rahat","Рахат"
"Rehovot","Реховот"
"Ramla","Рамла"
"Ramat Gan","Рамат-Ган"
"Ramat HaSharon","Рамат-ха-Шарон"
"Ra'anana","Раанана"
"Sderot","Сдерот"
"Shefa-'Amr","Шефарам"
"Tel Aviv","Тель-Авив"
"Abu Ghosh","Абу-Гош"
"Abu Snan","Абу-Снан"
"Even Yehuda","Эвен Йехуда"
"Oranit",""
"Azor","Азор"
"Iksal","Иксал"
"Elyakhin",""
"Alfei Menashe","Альфей-Менаше"
"Elkana",""
"I'billin","Ибилин"
"Efrat","Эфрат"
"Be'er Ya'akov","Беэр-Яаков"
"Bu'eine Nujeidat","Буейне-Нуджидат"
"Buq'ata","Буката"
"Bir al-Maksur","Бир-аль-Максур"
"Beit El","Бейт-Эль"
"Beit Aryeh-Ofarim","Бейт-Арье"
"Beit Jann","Бейт-Джан"
"Beit Dagan",""
"Bnei Ayish","Бней-Аиш"
"Binyamina-Giv'at Ada","Биньямина-Гиват Ада"
"Basma",""
"Basmat Tab'un","Басмат-Табун"
"Bi'ina","Бина"
"Giv'at Ze'ev","Гиват-Зеэв"
"Jadeidi-Makr",""
"Gedera","Гедера"
"Julis","Джулис"
"Jaljulia",""
"Gan Yavne","Ган-Явне"
"Ganei Tikva",""
"Jisr az-Zarqa",""
"Jish","Джиш"
"Jatt",""
"Daliyat al-Karmel",""
"Daburiyya","Дабурия"
"Deir al-Asad","Дейр-аль-Асад"
"Deir Hanna",""
"Har Adar",""
"Zikhron Ya'akov","Зихрон-Яаков"
"Zemer",""
"Zarzir","Зарзир"
"Hura","Хура"
"Hurfeish","Хурфейш"
"Hatzor HaGlilit","Хацор-ха-Глилит"
"Tuba-Zangariyye",""
"Tur'an",""
"Yanuh-Jat",""
"Yavne'el",""
"Yesud HaMa'ala","Йесуд-ха-Маала"
"Yafa an-Naseriyye","Яфия"
"Yeruham","Йерухам"
"Yarka","Ярка"
